caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
5150,2,1,0,60,50
5151,1,6,40,15,0
5152,1,5,60,60,15
5153,3,2,60,60,30
5154,2,2,50,50,50
5155,1,4,40,30,0
5156,1,7,70,0,15
5157,1,6,85,0,0
5159,2,3,60,60,40
5162,2,1,30,100,15
5163,2,2,35,75,40
5164,3,6,60,40,60
5165,1,4,50,50,50
5166,2,4,50,70,50
5167,2,2,30,60,50
5168,1,5,40,50,50
5169,1,6,85,50,40
5170,3,6,60,40,40
5171,1,6,85,15,60
5172,2,1,30,60,30
5176,1,2,85,40,0
5177,2,1,0,85,60
5178,3,1,0,60,0
5179,2,1,50,85,60
5180,3,2,30,60,70
5182,2,1,60,60,50
5183,2,1,40,100,30
5185,1,6,70,50,30
5186,1,4,70,60,50
5187,3,1,0,100,60
5191,1,7,85,50,0
5192,2,2,50,75,65
5193,3,4,60,40,85
5201,2,2,85,70,100
5202,1,6,85,50,60
5207,1,7,85,40,60
5208,2,1,30,70,50
5209,2,4,15,85,50
5210,2,1,50,60,40
5211,2,2,50,75,25
5212,2,1,30,85,15
5214,2,1,0,85,0
5218,1,5,60,40,15
5220,2,2,80,90,80
5221,1,6,70,40,40
5224,2,2,50,85,40
5227,1,6,85,30,60
5229,1,7,100,0,15
5230,3,2,70,40,85
5231,3,5,30,50,85
5232,1,6,60,0,50
5233,2,2,40,60,50
5234,2,1,0,100,0
5235,3,7,85,50,70
5238,1,5,40,30,30
5239,2,4,70,70,40
5240,2,1,40,85,85
5242,2,1,0,85,50
5244,1,6,70,50,40
5247,2,3,40,60,50
5250,2,6,40,60,0
5251,3,5,65,60,40
5253,1,6,85,30,85
5257,1,7,85,0,15
5258,3,3,50,60,40
5259,1,6,70,70,40
5263,2,2,40,60,30
5265,3,6,60,50,70
5272,2,1,40,100,15
5273,3,3,70,85,70
5274,2,1,0,85,0
5275,1,6,90,40,65
5277,2,3,0,100,0
5278,1,6,100,60,60
5280,2,4,40,50,20
5282,1,5,50,50,70
5286,2,4,0,70,60
5287,3,5,70,30,85
5288,1,6,60,30,60
5292,3,3,30,60,30
5293,1,4,0,50,50
5294,2,1,30,85,30
5295,1,6,85,40,50
5296,3,5,50,50,70
5297,2,3,60,70,60
