country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
8,1975,1.5,6.5,.6379860000000001,1,9.097842999999999,.448499,.5717,1,.637986,1
8,1976,1.5,5.6,.6379860000000001,1,9.144307,.494198,.5736,1,.637986,1
8,1977,1.4,5.3,.6379860000000001,1,9.188299000000001,.498144,.5692,1,.637986,1
8,1978,1.7,5.3,.6379860000000001,1,9.18533,.484388,.5565,1,.637986,1
8,1979,1.7,4.1,.6379860000000001,1,9.231807999999999,.518361,.5475,1,.637986,1
8,1980,1.5,5.1,.6379860000000001,1,9.259987000000001,.544903,.5497,1,.637986,1
8,1981,2.1,6.3,.6379860000000001,1,9.250234000000001,.555188,.5416,1,.637986,1
8,1982,3.1,6.2,.6379860000000001,1,9.257605999999999,.528814,.5106000000000001,1,.637986,1
8,1983,3.7,3.7,.6379860000000001,1,9.280612,.520712,.5049,.883333,.637986,1
8,1984,3.8,5,.6379860000000001,1,9.294406,.553412,.4924,.8,.637986,1
8,1985,3.6,3,.6379860000000001,1,9.317489,.5821229999999999,.4888,.8,.637986,1
8,1986,3.1,4.1,.6379860000000001,1,9.329278,.527546,.4814,.80625,.637986,1
8,1987,3.8,2.6,.6379860000000001,1,9.346792000000001,.50917,.4676,.526042,.637986,1
8,1988,3.6,1.5,.6379860000000001,1,9.384798,.532852,.4619,.5,.637986,1
8,1989,3.2,2.7,.6379860000000001,1,9.41906,.564292,.4552,.5,.637986,1
8,1990,3.3,3.5,.6379860000000001,1,9.448962999999999,.567535,.447808,.5,.637986,1
9,1955,4.1,1.5,.407917,.5,8.520587000000001,.624834,.4414,.5625,.2039585,1
9,1956,3,3.3,.407917,.5,8.54364,.672917,.4411,.5625,.2039585,1
9,1957,2.4,4.1,.407917,.5,8.560252999999999,.651277,.4482,.5625,.2039585,1
9,1958,3.5,1,.407917,.5,8.53464,.603119,.4616,.28125,.2039585,1
9,1959,4.2,.4,.407917,.5,8.560827,.636347,.4692,0,.2039585,1
9,1960,3.4,.8,.407917,.5,8.611594,.688121,.3907,0,.2039585,1
9,1961,2.6,1.3,.407917,.5,8.657303000000001,.6795,.3847,.3,.2039585,1
9,1962,2.2,1.7,.407917,.5,8.701513,.692068,.3723,.45,.2039585,1
9,1963,1.8,3,.407917,.5,8.733110999999999,.721274,.3911,.45,.2039585,1
9,1964,1.6,4.6,.407917,.5,8.791638000000001,.745796,.3882,.45,.2039585,1
9,1965,1.8,5.1,.407917,.5,8.81715,.765796,.3909,.429167,.2039585,1
9,1966,2,4.2,.407917,.5,8.840870000000001,.774254,.3951,.1,.2039585,1
9,1967,2.6,3.1,.407917,.5,8.871926,.740619,.401,0,.2039585,1
9,1968,3.1,2.7,.407917,.5,8.907071,.798073,.4069,.232143,.2039585,1
9,1969,2.3,4,.407917,.5,8.965462,.873675,.4092,.464286,.2039585,1
9,1970,2.1,4.6,.407917,.5,9.027739,.898205,.4132,.464286,.2039585,1
9,1971,2.1,5.7,.407917,.5,9.05649,.891084,.4333,.464286,.2039585,1
9,1972,2.7,6.2,.410417,.5,9.100191000000001,.887699,.462,.497024,.2052085,1
9,1973,2.7,7.2,.410417,.5,9.157467,.968687,.4758,.390873,.2052085,1
9,1974,3,12.6,.410417,.5,9.197355999999999,1.081062,.4907,.126984,.2052085,1
9,1975,5,12.1,.410417,.5,9.17295,.945871,.5217000000000001,0,.2052085,1
9,1976,6.4,7.5,.410417,.5,9.225820000000001,1.000949,.5383,0,.2052085,1
9,1977,7.4,7.5,.410417,.5,9.230535,.980927,.5485,.204545,.2052085,1
9,1978,7.9,4.4,.410417,.5,9.255792,.960203,.547,.409091,.2052085,1
9,1979,8.199999999999999,4.5,.410417,.5,9.276033999999999,1.055314,.5543,.414141,.2052085,1
9,1980,8.800000000000001,3.8,.410417,.5,9.315511000000001,1.156534,.5581,.427083,.2052085,1
9,1981,10.8,4.9,.410417,.5,9.289982999999999,1.22194,.5588,.5,.2052085,1
9,1982,12.6,7.1,.410417,.5,9.304377000000001,1.29766,.5538,0,.2052085,1
9,1983,12.1,5.9,.410417,.5,9.303102000000001,1.326916,.5438,0,.2052085,1
9,1984,12.1,5,.410417,.5,9.326878000000001,1.395872,.5446,0,.2052085,1
9,1985,11.3,5.5,.410417,.5,9.33123,1.36796,.5496,0,.2052085,1
9,1986,11.2,5,.410417,.5,9.346705,1.229313,.5411,0,.2052085,1
9,1987,11,1.9,.410417,.5,9.369649000000001,1.192435,.5433,0,.2052085,1
9,1988,9.699999999999999,1.2,.410417,.5,9.418898,1.217811,.5412,.276316,.2052085,1
9,1989,8.1,2.8,.410417,.5,9.457513000000001,1.29758,.5479000000000001,.48,.2052085,1
9,1990,7.6,4.4,.410417,.5,9.490392999999999,1.240041,.549297,.48,.2052085,1
10,1955,4.4,4.8,.529979,.75,8.600431,.534325,.581916,1,.39748424,1
10,1956,4.9,4.8,.529979,.75,8.623174000000001,.541586,.587326,1,.39748424,1
10,1957,4.6,1.8,.529979,.75,8.660081,.53152,.589374,.759804,.39748424,1
10,1958,4.2,1.6,.529979,.75,8.669570999999999,.52656,.59175,.588235,.39748424,1
10,1959,3,3.8,.529979,.75,8.756368,.543937,.600183,.588235,.39748424,1
10,1960,2.4,1.8,.529979,.75,8.818778,.558775,.601,.596507,.39748424,1
10,1961,2.1,4.3,.529979,.75,8.873748000000001,.516601,.6152,.6875,.39748424,1
10,1962,2.1,6.6,.529979,.75,8.924257000000001,.510486,.583,.692096,.39748424,1
10,1963,2.3,5.8,.529979,.75,8.909776000000001,.513444,.5889,.705882,.39748424,1
10,1964,1.9,4.6,.529979,.75,9.002947000000001,.526274,.5946,.779412,.39748424,1
10,1965,1.7,7.4,.529979,.75,9.040264000000001,.509613,.6114000000000001,1,.39748424,1
10,1966,1.9,6.8,.529979,.75,9.055089000000001,.488161,.6112,1,.39748424,1
10,1967,1.7,6,.529979,.75,9.080004000000001,.466993,.6022999999999999,1,.39748424,1
10,1968,1.7,7.2,.529979,.75,9.108418,.466854,.6109,.166667,.39748424,1
10,1969,1.7,6.8,.529979,.75,9.168996999999999,.477521,.621,0,.39748424,1
10,1970,1.3,8.1,.529979,.75,9.176784,.490936,.6016,0,.39748424,1
10,1971,1.6,7.9,.529979,.75,9.196241000000001,.4691,.6178,.166667,.39748424,1
10,1972,1.6,9,.529979,.75,9.244161999999999,.438792,.6159,1,.39748424,1
10,1973,1,10.4,.529979,.75,9.269835,.488826,.6185,1,.39748424,1
10,1974,2.3,12.8,.529979,.75,9.25225,.554747,.636,0,.39748424,1
10,1975,5.3,12.8,.529979,.75,9.233665999999999,.507337,.6819,.833333,.39748424,1
10,1976,5.3,9,.529979,.75,9.298443000000001,.517691,.7067,1,.39748424,1
10,1977,6.4,8.699999999999999,.529979,.75,9.309913999999999,.501518,.7181999999999999,1,.39748424,1
10,1978,7.3,9.5,.529979,.75,9.318028,.471156,.7522,.888889,.39748424,1
10,1979,6.2,7.6,.529979,.75,9.348710000000001,.502041,.7655999999999999,.722222,.39748424,1
10,1980,7,8.199999999999999,.529979,.75,9.336268,.543748,.7634,1,.39748424,1
10,1981,9.199999999999999,10.1,.529979,.75,9.319464,.586005,.769,1,.39748424,1
10,1982,9.800000000000001,10.6,.529979,.75,9.352361,.574969,.7716,.75,.39748424,1
