dirdyadID,year,ln_ref_flow,pop_diff,distance,regimedif,wardiff,pop_between,pop_within,regime_between,regime_within,war_between,war_within
439615,1992,-0.693147182,-0.016838001,1.710999966,0.100000001,-1,-0.0182274,0.001389399,0.010000001,0.090000004,-1,0
571481,1992,-0.693147182,0.000368,2.052999973,0.600000024,0,0.0003868,-1.87999E-05,0.625,-0.024999976,0,0
552484,1992,-0.693147182,0.008037999,1.421000004,-0.550000012,0,0.0087433,-0.000705301,-0.275000006,-0.275000006,-0.100000001,0.100000001
530481,1992,-0.693147182,0.054127,2.059000015,0.200000003,0,0.053172499,0.000954501,0.200000003,0,0,0
520500,1992,-0.693147182,-0.008911999,0.89200002,0.349999994,1,-0.0104339,0.001521901,0.215000004,0.13499999,-0.600000024,1.600000024
553540,1992,-0.693147182,-0.001786,1.437000036,-0.449999988,-1,-0.001451,-0.000335,0.289999992,-0.74000001,-2.299999952,1.299999952
434484,1992,-0.693147182,0.002675,1.148000002,0.050000001,0,0.0029235,-0.0002485,0.320000023,-0.270000011,-0.5,0.5
438580,1992,-0.693147182,-0.007106,4.613999844,-0.699999988,0,-0.007808,0.000702,-0.514999986,-0.185000002,0.400000006,-0.400000006
540571,1992,-0.693147182,0.009251,1.376999974,-0.400000006,1,0.0100052,-0.0007542,-0.530000031,0.130000025,2.299999952,-1.299999952
420570,1992,-0.693147182,-0.001,4.170000076,0.75,0,-0.0008972,-0.0001028,-0.370000005,1.120000005,-0.100000001,0.100000001
510541,1992,-0.693147182,0.012511,0,0,-1,0.0131304,-0.0006194,-0.275000006,0.275000006,-0.100000001,-0.899999976
571510,1992,-0.693147182,-0.025943,1.519000053,0.699999988,0,-0.029424701,0.003481701,0.519999981,0.180000007,0,0
432520,1992,-0.693147182,0.000932001,3.724999905,0.349999994,-1,0.0012159,-0.000283899,0.324999988,0.025000006,-0.5,-0.5
482439,1992,-0.693147182,-0.006367999,1.480999947,-0.050000001,0,-0.0074339,0.001065901,0.395000011,-0.445000023,0.100000001,-0.100000001
552461,1992,-0.693147182,0.006666999,2.625999928,-0.150000006,0,0.0072011,-0.0005341,-0.189999998,0.039999992,0.400000006,-0.400000006
651600,1992,-0.693147182,0.030191995,2.236999989,0.200000003,1,0.035138499,-0.004946504,0.135000005,0.064999998,0.699999988,0.300000012
615437,1992,-0.693147182,0.013599001,2.137000084,0,1,0.0148898,-0.001290799,-0.024999997,0.024999997,1,0
404435,1992,-0.693147182,-0.001102,0.432999998,0,0,-0.0012837,0.0001817,0.405000001,-0.405000001,0.200000003,-0.200000003
